,price_doc,full_sq,life_sq,num_room,kitch_sq
14479,5950000,40,23.0,2.0,6.0
14480,2000000,43,29.0,2.0,5.0
14482,6300000,44,27.0,2.0,5.0
14485,10000000,63,43.0,3.0,7.0
14486,4363862,46,46.0,1.0,0.0
14489,6650000,44,44.0,2.0,5.0
14503,10000000,59,45.0,3.0,6.0
14508,3950440,36,21.0,1.0,9.0
14512,9000000,55,39.0,3.0,5.0
14513,9000000,64,38.0,3.0,7.0
14516,7150000,36,21.0,1.0,8.0
14517,990000,83,52.0,3.0,8.0
14529,6700000,47,30.0,2.0,6.0
14532,1000000,39,20.0,1.0,8.0
14538,9500000,45,27.0,2.0,6.0
14539,5500000,30,16.0,1.0,5.0
14545,6700000,45,28.0,2.0,5.0
14546,5200000,28,11.0,1.0,6.0
14553,5000000,33,18.0,1.0,9.0
14559,5350000,40,39.0,1.0,8.0
14561,9400000,52,27.0,2.0,9.0
14567,1000000,32,18.0,1.0,6.0
14569,18500000,73,50.0,3.0,8.0
14570,20272106,100,100.0,2.0,1.0
14583,5800000,31,21.0,1.0,5.0
14592,9500000,36,15.0,1.0,9.0
14594,7200000,37,19.0,1.0,8.0
14596,4750000,33,18.0,1.0,7.0
14598,4830000,28,15.0,1.0,5.0
14602,5600000,29,17.0,1.0,5.0
14603,8800000,56,41.0,3.0,5.0
14606,10200000,82,47.0,3.0,8.0
14607,1000000,39,23.0,2.0,6.0
14612,3127850,51,30.0,2.0,9.0
14617,7250000,45,30.0,2.0,5.0
14622,6400000,35,20.0,1.0,9.0
14623,4235000,44,28.0,2.0,5.0
14628,9800000,57,41.0,3.0,5.0
14634,7900000,60,43.0,3.0,6.0
14641,1000000,50,36.0,3.0,5.0
14644,8100000,58,38.0,3.0,5.0
14645,6900000,45,30.0,2.0,5.0
14646,1000000,38,20.0,1.0,8.0
14647,7000000,44,28.0,2.0,5.0
14652,8650000,62,37.0,3.0,8.0
14653,18000000,72,48.0,3.0,7.0
14654,10200000,58,32.0,2.0,10.0
14664,9400000,60,41.0,3.0,6.0
14667,4850000,35,34.0,1.0,7.0
14668,5300000,38,19.0,1.0,10.0
14670,2000000,77,46.0,3.0,10.0
14673,8070000,70,39.0,2.0,4.0
14677,1000000,30,30.0,1.0,5.0
14679,14700000,77,39.0,2.0,17.0
14680,6000000,39,20.0,1.0,8.0
14688,8765000,69,33.0,2.0,13.0
14689,11800000,58,43.0,3.0,5.0
14691,6755240,86,84.0,3.0,1.0
14700,3000000,37,24.0,2.0,6.0
14705,14400000,58,32.0,2.0,9.0
14708,3000000,33,17.0,1.0,9.0
14709,7115197,167,167.0,3.0,1.0
14712,11200000,75,43.0,3.0,9.0
14713,6400000,30,30.0,1.0,4.0
14714,6450000,44,27.0,2.0,5.0
14716,8070000,70,39.0,2.0,4.0
14721,6950000,39,23.0,2.0,6.0
14723,6050000,44,28.0,2.0,6.0
14725,4900000,29,18.0,1.0,5.0
14737,5550000,43,19.0,1.0,8.0
14739,5550000,31,17.0,1.0,5.0
14741,9600000,49,29.0,2.0,9.0
14745,6450000,42,29.0,2.0,5.0
14748,2552421,38,38.0,1.0,1.0
14750,6000000,36,20.0,1.0,6.0
14751,7000000,32,32.0,1.0,8.0
14752,6800000,53,34.0,3.0,6.0
14753,5350000,30,19.0,1.0,5.0
14757,2000000,63,36.0,2.0,7.0
14761,8200000,62,39.0,3.0,8.0
14762,5300000,45,30.0,2.0,5.0
14763,10828800,75,41.0,3.0,11.0
14764,7600000,44,28.0,2.0,6.0
14770,3600000,29,14.0,1.0,6.0
14775,5500000,33,19.0,1.0,6.0
14777,5300000,31,18.0,1.0,5.0
14778,11700000,64,41.0,2.0,7.0
14780,15700000,65,43.0,3.0,7.0
14783,13000000,78,51.0,3.0,9.0
14788,4328858,46,46.0,1.0,1.0
14790,8200000,38,22.0,2.0,6.0
14792,7800000,37,18.0,2.0,7.0
14793,5750000,43,27.0,2.0,5.0
14795,5200000,42,26.0,2.0,5.0
14797,7100000,41,20.0,1.0,8.0
14798,8700000,64,46.0,4.0,6.0
14803,2000000,53,30.0,2.0,7.0
14806,5650000,33,20.0,2.0,6.0
14809,7000000,40,22.0,2.0,6.0
14813,4300000,20,12.0,1.0,2.0
14825,9700000,46,20.0,1.0,9.0
14833,7583000,58,37.0,3.0,5.0
14842,6700000,49,18.0,1.0,14.0
14845,7585247,57,41.0,3.0,5.0
14847,10300000,51,36.0,2.0,5.0
14858,8700000,51,30.0,2.0,9.0
14862,4534920,41,18.0,1.0,1.0
14867,17701164,90,90.0,2.0,1.0
14870,26000000,111,66.0,5.0,11.0
14871,4935000,47,47.0,1.0,1.0
14874,7500000,36,22.0,2.0,7.0
14875,6200000,43,28.0,2.0,5.0
14879,7000000,53,30.0,2.0,8.0
14883,16150000,66,42.0,3.0,8.0
14884,7200000,43,43.0,2.0,1.0
14886,6400000,30,17.0,1.0,5.0
14887,8200000,50,34.0,3.0,6.0
14893,6800000,39,23.0,2.0,6.0
14894,10000000,71,43.0,3.0,8.0
14900,7800000,59,42.0,3.0,6.0
14906,20000000,70,36.0,2.0,12.0
14910,9390000,44,27.0,2.0,6.0
14915,11600000,56,32.0,2.0,10.0
14921,5250000,46,18.0,1.0,11.0
14924,6100000,31,18.0,1.0,5.0
14932,13742300,55,21.0,1.0,10.0
14939,6300000,34,21.0,2.0,6.0
14943,7100000,50,34.0,3.0,6.0
14944,5850000,38,19.0,1.0,8.0
14947,4300000,33,17.0,1.0,7.0
14952,6000000,55,34.0,2.0,9.0
14953,7600000,52,30.0,2.0,8.0
14960,1000000,46,30.0,2.0,5.0
14965,16500000,76,61.0,4.0,4.0
14975,10800000,56,32.0,2.0,10.0
14976,4500000,32,18.0,1.0,6.0
14979,15300000,78,44.0,3.0,12.0
14988,8980000,52,35.0,3.0,3.0
14992,5300000,35,19.0,1.0,8.0
14999,6300000,44,27.0,2.0,6.0
15004,6000000,37,19.0,1.0,10.0
15006,10650000,63,44.0,3.0,7.0
15009,9000000,65,41.0,3.0,1.0
15010,6600000,41,30.0,2.0,5.0
15012,12000000,52,30.0,2.0,9.0
15013,11650000,54,28.0,2.0,10.0
15016,5900000,32,16.0,1.0,8.0
15025,6200000,33,20.0,2.0,6.0
15027,7000000,37,18.0,1.0,8.0
15030,8000000,37,22.0,2.0,7.0
15031,7600000,60,44.0,3.0,6.0
15034,4900000,42,26.0,2.0,5.0
15036,5100000,31,20.0,1.0,5.0
15037,10000000,58,41.0,3.0,5.0
15039,6175472,79,79.0,3.0,10.0
15040,8700000,51,30.0,2.0,8.0
15044,6850000,38,20.0,1.0,8.0
15047,12877035,58,58.0,2.0,1.0
15049,2000000,75,44.0,3.0,10.0
15050,5600000,41,21.0,1.0,8.0
15052,9400000,40,19.0,1.0,8.0
15053,5800000,31,15.0,1.0,6.0
15059,1000000,33,18.0,1.0,9.0
15060,7000000,35,20.0,1.0,9.0
15062,21400000,70,39.0,3.0,7.0
15069,9450000,42,17.0,1.0,13.0
15072,5600000,32,18.0,1.0,6.0
15074,6340000,63,60.0,2.0,1.0
15081,1000000,38,20.0,1.0,10.0
15085,9700000,49,29.0,2.0,9.0
15086,11100000,76,49.0,3.0,10.0
15089,6900000,36,20.0,1.0,10.0
15090,6400000,47,30.0,2.0,6.0
15091,6300000,53,34.0,2.0,6.0
15096,6000000,42,26.0,2.0,5.0
15102,4300000,32,17.0,1.0,5.0
15103,4534920,41,18.0,1.0,1.0
15105,16000000,126,103.0,1.0,14.0
15106,6400000,43,29.0,2.0,5.0
15112,7750000,33,17.0,1.0,7.0
15113,6550000,38,19.0,1.0,7.0
15124,5300000,32,19.0,1.0,5.0
15125,9500000,49,29.0,2.0,7.0
15126,5000000,32,18.0,1.0,6.0
15127,12500000,55,37.0,3.0,4.0
15129,12900000,70,46.0,3.0,8.0
15130,24036000,120,120.0,3.0,1.0
15133,1000000,70,44.0,3.0,9.0
15135,4700000,21,13.0,1.0,3.0
15146,8250000,57,37.0,3.0,5.0
15153,8500000,40,26.0,2.0,5.0
15155,6100000,44,28.0,2.0,6.0
15157,1000000,33,17.0,1.0,9.0
15159,10500000,59,34.0,2.0,10.0
15162,20684376,112,1.0,3.0,1.0
15164,12200000,76,45.0,3.0,10.0
15165,10000000,38,21.0,1.0,6.0
15167,8300000,45,27.0,2.0,6.0
15168,6400000,46,30.0,2.0,5.0
15169,10000000,62,38.0,3.0,8.0
15171,8380000,56,41.0,3.0,5.0
15172,6800000,36,20.0,1.0,10.0
15173,37000000,87,58.0,3.0,12.0
15174,8200000,38,19.0,1.0,8.0
15178,7800000,53,33.0,2.0,7.0
15180,5199000,38,19.0,1.0,7.0
15182,5500000,36,26.0,2.0,3.0
15191,5300000,29,18.0,1.0,5.0
15194,6800000,45,29.0,2.0,6.0
15195,10500000,72,53.0,4.0,9.0
15196,6350000,45,28.0,2.0,5.0
15197,5650000,37,19.0,1.0,9.0
15198,6500000,46,29.0,2.0,5.0
15200,55500000,174,110.0,4.0,17.0
15205,10750000,58,39.0,3.0,5.0
15207,7000000,42,20.0,1.0,8.0
15208,6900000,45,28.0,2.0,6.0
15209,6550000,31,21.0,1.0,5.0
15211,7100000,54,36.0,3.0,5.0
15212,6000000,31,21.0,1.0,5.0
15213,11600000,74,43.0,3.0,10.0
15214,5850000,32,19.0,1.0,5.0
15220,8400000,41,24.0,2.0,5.0
15223,13000000,78,52.0,3.0,9.0
15228,8000000,63,38.0,3.0,8.0
15239,18800000,69,39.0,3.0,7.0
15244,12000000,65,44.0,3.0,9.0
15246,11600000,71,50.0,3.0,7.0
15254,5600000,34,19.0,1.0,9.0
15273,11800000,71,43.0,3.0,8.0
15275,10500000,74,45.0,3.0,10.0
15280,6800000,36,22.0,2.0,7.0
15282,9700000,53,34.0,3.0,6.0
15287,7300000,42,28.0,2.0,5.0
15288,13400000,76,43.0,3.0,10.0
15289,4950000,39,21.0,1.0,8.0
15293,5150000,32,18.0,1.0,6.0
15296,4350000,25,15.0,1.0,3.0
15301,5400000,41,26.0,2.0,5.0
15303,8300000,52,48.0,2.0,6.0
15304,12300000,74,44.0,3.0,10.0
15305,2000000,54,28.0,2.0,11.0
15306,27000000,125,76.0,5.0,14.0
15314,5500000,31,19.0,1.0,5.0
15319,7200000,64,39.0,3.0,7.0
15321,7300000,45,28.0,2.0,6.0
15330,7100000,53,30.0,2.0,8.0
15332,14814988,76,38.0,2.0,14.0
15336,9300000,86,53.0,3.0,8.0
15364,7700000,31,17.0,2.0,5.0
15366,7000134,63,63.0,2.0,1.0
15372,6400000,32,17.0,1.0,5.0
15375,9300000,71,71.0,4.0,6.0
15378,14200000,70,45.0,3.0,10.0
15381,4386574,41,17.0,1.0,10.0
15382,11500000,80,54.0,3.0,10.0
15383,1000000,39,25.0,2.0,5.0
15384,4800000,32,20.0,1.0,5.0
15387,2000000,96,62.0,4.0,10.0
15388,8400000,62,38.0,3.0,8.0
15390,8500000,60,38.0,3.0,8.0
15391,5900000,38,19.0,1.0,10.0
15395,7500000,53,30.0,2.0,8.0
15398,7500000,53,30.0,2.0,8.0
15399,6300000,31,18.0,1.0,5.0
15401,10800000,83,45.0,3.0,10.0
15402,9000000,58,43.0,3.0,6.0
15404,8300000,58,34.0,2.0,10.0
15408,6200000,45,28.0,2.0,5.0
15411,8700000,54,28.0,2.0,11.0
15419,7900000,55,28.0,2.0,9.0
15421,8100000,45,28.0,2.0,6.0
15423,6500000,42,25.0,2.0,5.0
15427,1000000,56,40.0,3.0,5.0
15428,6300000,69,39.0,3.0,7.0
15429,6480000,39,20.0,1.0,8.0
15431,6700000,38,20.0,1.0,8.0
15435,6940000,39,23.0,2.0,6.0
15436,16500000,77,51.0,3.0,11.0
15443,7500000,41,26.0,2.0,5.0
15445,5500000,28,13.0,1.0,5.0
15447,6400000,41,25.0,2.0,5.0
15453,13000000,56,29.0,2.0,8.0
15454,8250000,54,39.0,3.0,6.0
15458,9900000,70,50.0,3.0,7.0
15460,2000000,35,21.0,1.0,6.0
15462,7200000,39,22.0,1.0,7.0
15463,7600000,36,19.0,1.0,9.0
15466,5893000,45,45.0,3.0,1.0
15467,5500000,38,18.0,1.0,7.0
15468,11500000,63,45.0,3.0,5.0
15470,5800000,39,17.0,1.0,8.0
15482,6000000,32,17.0,1.0,9.0
15485,2000000,38,19.0,1.0,10.0
15486,6800000,35,19.0,1.0,9.0
15487,2000000,37,18.0,1.0,7.0
15491,1000000,77,75.0,3.0,10.0
15492,7950000,34,19.0,1.0,9.0
15493,6550000,32,20.0,1.0,5.0
15495,11700000,82,49.0,3.0,8.0
15496,12500000,80,43.0,3.0,10.0
15503,9500000,63,44.0,3.0,6.0
15511,11000000,54,30.0,2.0,8.0
15521,5100000,86,50.0,3.0,10.0
15526,8000000,51,30.0,2.0,10.0
15528,10900000,52,30.0,2.0,8.0
15530,6250000,41,20.0,1.0,8.0
15534,6100000,29,14.0,1.0,5.0
15538,11100000,55,28.0,2.0,8.0
15540,9700000,63,62.0,3.0,7.0
15543,6900000,45,24.0,2.0,8.0
15544,6858739,63,63.0,2.0,1.0
15546,5650000,42,26.0,2.0,6.0
15547,5100000,34,14.0,1.0,9.0
15548,12300000,54,32.0,2.0,9.0
15549,5460000,32,20.0,1.0,5.0
15553,4900000,37,22.0,2.0,7.0
15558,6350000,41,25.0,2.0,5.0
15561,6720000,45,30.0,2.0,5.0
15577,9650000,58,38.0,3.0,5.0
15583,6000000,71,39.0,2.0,13.0
15593,6750000,36,22.0,2.0,7.0
15594,15700000,74,45.0,3.0,10.0
15597,6450000,44,29.0,2.0,6.0
15610,23267170,75,75.0,2.0,10.0
15611,8250000,45,28.0,2.0,6.0
15614,13100000,72,42.0,3.0,6.0
15616,8346000,38,20.0,1.0,8.0
15617,8500000,53,30.0,2.0,8.0
15623,12800000,68,44.0,3.0,8.0
15629,12800000,78,51.0,4.0,8.0
15635,17044200,100,100.0,3.0,0.0
15636,7500000,43,27.0,2.0,5.0
15643,8800000,50,33.0,3.0,6.0
15669,11000000,58,33.0,2.0,10.0
15670,2000000,53,28.0,2.0,9.0
15675,7500000,61,42.0,3.0,6.0
15676,6050000,38,22.0,2.0,6.0
15677,8800000,63,44.0,3.0,6.0
15685,3000000,59,44.0,3.0,5.0
15688,15800000,76,43.0,3.0,10.0
15693,7700000,72,42.0,3.0,10.0
15696,3000000,131,118.0,1.0,3.0
15703,5100000,33,18.0,1.0,9.0
15709,3846600,38,38.0,1.0,1.0
15712,5020000,32,18.0,1.0,6.0
15714,7000000,76,45.0,3.0,10.0
15721,8400000,53,30.0,2.0,8.0
15729,20300000,84,22.0,2.0,30.0
15736,4000000,38,19.0,1.0,9.0
15737,11000000,74,51.0,4.0,8.0
15738,4900000,31,20.0,1.0,5.0
15739,7400000,44,28.0,2.0,6.0
15745,1000000,56,37.0,3.0,6.0
15747,6100000,35,19.0,1.0,9.0
15749,7100000,53,30.0,2.0,8.0
15750,8000000,39,20.0,1.0,10.0
15752,10000000,66,44.0,3.0,9.0
15755,5000000,33,19.0,1.0,6.0
15756,2000000,38,19.0,1.0,7.0
15758,11900000,64,23.0,2.0,7.0
15766,2936719,39,37.0,1.0,1.0
15767,5250000,32,20.0,1.0,5.0
15772,6450000,31,18.0,1.0,6.0
15775,5500000,39,39.0,1.0,8.0
15776,6000000,83,57.0,2.0,18.0
15777,3600000,32,21.0,1.0,5.0
15778,16010549,76,37.0,2.0,14.0
15780,11800000,62,43.0,3.0,7.0
15781,18500000,59,31.0,2.0,8.0
15785,5400000,37,19.0,1.0,7.0
15791,6700000,43,30.0,2.0,5.0
15792,5000000,97,68.0,4.0,9.0
15798,7800000,60,44.0,3.0,6.0
15799,6500000,30,17.0,1.0,6.0
15808,17700000,39,28.0,2.0,6.0
15819,4360000,38,19.0,1.0,9.0
15826,6350000,42,26.0,2.0,5.0
15827,6150000,39,19.0,1.0,9.0
15829,1000000,42,20.0,1.0,8.0
15834,7476000,32,20.0,1.0,5.0
15835,3000000,65,44.0,3.0,9.0
15842,39000000,93,52.0,3.0,8.0
15844,10300000,60,37.0,3.0,6.0
15846,5600000,34,20.0,1.0,6.0
15847,3800000,32,18.0,1.0,5.0
15849,4700000,38,20.0,1.0,8.0
15852,7100000,44,29.0,2.0,6.0
15854,6000000,37,18.0,1.0,8.0
15856,6050000,34,21.0,1.0,0.0
15857,4900000,40,25.0,2.0,6.0
15858,6900000,38,22.0,2.0,7.0
15862,10200000,57,31.0,2.0,10.0
15869,25000000,100,96.0,3.0,17.0
15873,5150000,38,19.0,1.0,8.0
15876,8000000,44,28.0,2.0,5.0
15883,7000000,43,27.0,2.0,5.0
15885,43000000,116,69.0,3.0,14.0
15889,5000000,41,26.0,2.0,5.0
15892,6000000,38,19.0,1.0,8.0
15897,7200000,44,30.0,2.0,5.0
15900,2000000,37,22.0,2.0,7.0
15904,5300000,39,20.0,1.0,8.0
15911,8200000,38,20.0,1.0,10.0
15912,8250000,47,28.0,2.0,6.0
15914,8650000,51,31.0,2.0,9.0
15919,1000000,39,23.0,2.0,6.0
15920,13949000,75,75.0,2.0,1.0
15922,5400000,33,17.0,1.0,9.0
15924,11300000,71,52.0,3.0,8.0
15929,6100000,50,33.0,2.0,6.0
15939,12700000,59,32.0,2.0,9.0
15941,6700000,37,18.0,1.0,8.0
15942,5700000,38,23.0,2.0,6.0
15950,7300000,39,23.0,2.0,6.0
15951,7500000,52,30.0,2.0,8.0
15958,6000000,44,28.0,2.0,5.0
15961,7200000,38,19.0,1.0,8.0
15962,5550000,39,24.0,2.0,6.0
15965,3846600,40,40.0,1.0,1.0
15972,7150000,37,23.0,2.0,6.0
15974,2000000,79,45.0,3.0,13.0
15975,8100000,44,28.0,2.0,6.0
15978,2000000,36,18.0,1.0,1.0
15982,8000000,57,41.0,3.0,5.0
15993,6400000,41,41.0,2.0,1.0
15997,5100000,32,18.0,1.0,6.0
16000,1100000,44,32.0,2.0,5.0
16003,4600000,33,19.0,1.0,6.0
16004,7750000,51,30.0,2.0,8.0
16006,10700000,76,43.0,3.0,8.0
16013,7800000,32,21.0,1.0,5.0
16014,11800000,54,39.0,3.0,1.0
16015,7200000,35,19.0,1.0,8.0
16019,4354000,31,31.0,1.0,8.0
16030,6850000,38,16.0,1.0,8.0
16040,7050000,45,29.0,2.0,5.0
16041,6100000,32,18.0,1.0,6.0
16042,7600000,37,19.0,1.0,9.0
16043,7300000,38,20.0,1.0,8.0
16044,7200000,41,23.0,1.0,7.0
16049,3000000,40,20.0,1.0,8.0
16051,8600000,59,44.0,3.0,5.0
16052,10500000,77,45.0,3.0,10.0
16055,5550000,43,28.0,2.0,5.0
16056,7000000,45,30.0,2.0,5.0
16057,14200000,74,48.0,3.0,8.0
16061,6100000,41,22.0,2.0,5.0
16062,11300000,58,34.0,2.0,10.0
16063,10500000,54,30.0,2.0,8.0
16064,7000000,47,31.0,2.0,8.0
16066,1000000,45,30.0,2.0,5.0
16071,8800000,58,34.0,2.0,10.0
16075,7300000,32,17.0,1.0,6.0
16088,5600000,48,29.0,2.0,6.0
16093,7050000,40,18.0,1.0,8.0
16095,5710756,67,67.0,2.0,1.0
16099,65000000,120,63.0,3.0,17.0
16102,1250000,33,20.0,1.0,5.0
16111,5400000,33,18.0,1.0,6.0
16114,1000000,57,41.0,3.0,5.0
16118,9000000,57,35.0,2.0,12.0
16119,12400000,46,26.0,2.0,7.0
16120,4800000,32,20.0,1.0,5.0
16122,6400000,34,24.0,2.0,5.0
16126,2000000,49,29.0,2.0,7.0
16136,8800000,54,32.0,2.0,9.0
16142,5872409,45,45.0,1.0,0.0
16145,7700000,37,19.0,1.0,7.0
16155,6900000,46,29.0,2.0,6.0
16159,25700000,99,65.0,4.0,9.0
16160,7150000,51,30.0,2.0,9.0
16162,7000000,38,19.0,1.0,8.0
16169,5600000,42,21.0,1.0,8.0
16171,15500000,57,38.0,3.0,8.0
16174,6200000,30,18.0,1.0,5.0
16175,7500000,41,38.0,1.0,10.0
16179,2500000,49,31.0,2.0,8.0
16181,5100000,31,19.0,1.0,5.0
16182,4500000,34,19.0,1.0,7.0
16189,7000000,45,30.0,2.0,5.0
16206,5600000,43,26.0,2.0,5.0
16210,11500000,73,52.0,3.0,8.0
16213,1100000,44,27.0,2.0,5.0
16215,3150000,53,32.0,2.0,9.0
16216,14500000,60,32.0,2.0,7.0
16217,5600000,27,15.0,1.0,4.0
16222,2000000,60,33.0,2.0,13.0
16225,13200000,89,56.0,3.0,9.0
16226,2200000,54,29.0,2.0,10.0
16227,7450000,37,19.0,1.0,8.0
16228,9800000,51,30.0,2.0,8.0
16229,3000000,57,34.0,2.0,10.0
16230,34000000,127,82.0,3.0,20.0
16232,8500000,57,32.0,2.0,10.0
16234,17800000,88,55.0,3.0,9.0
16241,8700000,50,31.0,2.0,7.0
16249,6100000,44,30.0,2.0,5.0
16251,6750000,34,19.0,1.0,9.0
16258,16000000,75,46.0,3.0,10.0
16260,3450000,22,22.0,2.0,7.0
16265,6700000,36,17.0,1.0,7.0
16267,5500000,32,19.0,1.0,4.0
16271,8550000,37,19.0,1.0,8.0
16272,1000000,53,32.0,2.0,8.0
16276,11150000,78,55.0,3.0,8.0
16278,1886643,64,29.0,2.0,13.0
16285,13500000,75,43.0,3.0,10.0
16286,6700000,44,27.0,2.0,6.0
16298,3299400,60,27.0,2.0,17.0
16300,6200000,36,19.0,1.0,9.0
16307,9300000,56,42.0,3.0,5.0
16312,8700000,45,28.0,2.0,5.0
16323,8625000,50,28.0,2.0,11.0
16324,16900000,90,54.0,3.0,10.0
16326,2000000,85,54.0,3.0,10.0
16328,7700000,65,47.0,4.0,5.0
16333,6000000,44,29.0,2.0,5.0
16336,6350000,45,27.0,2.0,6.0
16339,11100000,72,43.0,3.0,10.0
16341,10800000,54,33.0,3.0,7.0
16344,15800000,76,45.0,3.0,10.0
16350,5000000,33,18.0,1.0,6.0
16355,7350000,37,23.0,2.0,6.0
16356,5800000,30,16.0,1.0,5.0
16360,7150000,37,19.0,1.0,8.0
16362,5700000,28,17.0,1.0,4.0
16366,3000000,42,27.0,2.0,5.0
16372,5400000,32,18.0,1.0,6.0
16375,15250000,81,52.0,3.0,10.0
16378,6900000,39,23.0,2.0,6.0
16379,17500000,83,54.0,3.0,9.0
16381,11500000,75,45.0,3.0,10.0
16385,3100000,41,26.0,2.0,5.0
16388,8400000,37,18.0,1.0,8.0
16392,6400000,37,19.0,1.0,7.0
16398,6000000,44,29.0,2.0,5.0
16399,6500000,38,18.0,1.0,9.0
16400,6800000,42,26.0,2.0,5.0
16408,16300000,77,44.0,3.0,10.0
16410,7500000,37,22.0,2.0,7.0
16412,14000000,74,51.0,4.0,74.0
16413,7900000,52,30.0,2.0,9.0
16418,19500000,109,68.0,3.0,14.0
16424,7758000,52,30.0,2.0,8.0
16425,9500000,44,28.0,2.0,5.0
16428,5900000,42,28.0,2.0,5.0
16430,6650000,43,28.0,2.0,5.0
16435,8400000,53,36.0,3.0,5.0
16436,9500000,69,37.0,2.0,10.0
16437,11750000,73,44.0,3.0,10.0
16442,6530200,63,63.0,2.0,1.0
16447,12000000,74,40.0,3.0,10.0
16448,6000000,32,21.0,1.0,5.0
16449,12300000,64,34.0,2.0,11.0
16465,6500000,35,18.0,1.0,7.0
16470,6300000,46,29.0,2.0,5.0
16473,23500000,121,73.0,4.0,13.0
16475,2000000,45,28.0,2.0,5.0
16478,17450000,135,72.0,4.0,15.0
16479,6900000,39,23.0,2.0,6.0
16484,10257410,75,75.0,1.0,0.0
16486,13000000,59,44.0,3.0,6.0
16489,13200000,73,45.0,2.0,8.0
16491,6570000,29,18.0,1.0,5.0
16492,9900000,57,40.0,3.0,6.0
16496,1000000,49,31.0,2.0,9.0
16501,8200000,44,28.0,2.0,5.0
16504,36000000,143,61.0,3.0,40.0
16505,6500000,44,28.0,2.0,6.0
16517,1000000,56,29.0,2.0,8.0
16520,2029417,29,29.0,1.0,0.0
16521,2000000,54,37.0,3.0,5.0
16527,6700000,40,25.0,2.0,5.0
16533,14060000,76,76.0,2.0,1.0
16541,3890818,66,66.0,1.0,1.0
16545,7600000,44,29.0,2.0,5.0
16551,12300000,54,30.0,2.0,8.0
16558,5950000,36,19.0,1.0,9.0
16559,6800000,44,27.0,2.0,5.0
16560,2000000,64,38.0,3.0,8.0
16561,7680000,42,42.0,2.0,5.0
16563,5750000,37,24.0,2.0,7.0
16567,11000000,82,45.0,3.0,10.0
16572,2000000,43,26.0,2.0,5.0
16574,8500000,59,44.0,3.0,5.0
16580,8000000,46,30.0,2.0,5.0
16584,7450000,50,29.0,2.0,7.0
16586,4700000,102,62.0,3.0,14.0
16594,1000000,34,19.0,1.0,9.0
16595,6000000,38,23.0,2.0,7.0
16600,10750000,88,53.0,4.0,12.0
16602,13000000,75,43.0,3.0,10.0
16607,10300000,65,43.0,3.0,9.0
16609,8000000,62,38.0,3.0,8.0
16611,34800000,80,48.0,3.0,6.0
16615,6500000,45,30.0,2.0,5.0
16616,7500000,53,30.0,2.0,8.0
16617,12500000,57,40.0,3.0,5.0
16633,6000000,44,28.0,2.0,5.0
16634,13650000,74,43.0,3.0,7.0
16637,7050000,40,18.0,1.0,8.0
16639,13700000,77,46.0,3.0,10.0
16640,4600000,32,18.0,1.0,6.0
16643,19074000,115,55.0,3.0,20.0
16646,7800000,46,29.0,2.0,5.0
16647,1000000,45,30.0,2.0,5.0
16648,5100000,39,19.0,1.0,8.0
16649,7300000,45,27.0,2.0,6.0
16656,11650000,63,44.0,3.0,6.0
16659,3000000,38,18.0,1.0,9.0
16660,11500000,57,32.0,2.0,7.0
16668,7100000,43,27.0,2.0,5.0
16670,7350000,44,27.0,2.0,5.0
16674,7700000,42,30.0,2.0,5.0
16676,6300000,37,18.0,1.0,9.0
16677,6700000,46,29.0,2.0,6.0
16678,10121000,60,40.0,3.0,6.0
16680,5630000,32,21.0,1.0,5.0
16681,9850000,31,18.0,1.0,6.0
16683,15000000,80,54.0,3.0,9.0
16686,8400000,56,31.0,2.0,8.0
16692,5000000,60,33.0,2.0,13.0
16694,6000000,50,32.0,2.0,7.0
16696,2000000,76,42.0,3.0,11.0
16697,8400000,51,30.0,2.0,8.0
16698,15400000,79,49.0,3.0,7.0
16705,8000000,49,34.0,3.0,6.0
16710,7000000,54,33.0,2.0,7.0
16712,23000000,83,55.0,3.0,8.0
16713,1000000,94,66.0,3.0,8.0
16716,17048720,76,41.0,2.0,14.0
16718,6400000,32,21.0,1.0,5.0
16720,6400000,40,25.0,2.0,5.0
16722,9050000,35,16.0,1.0,9.0
16723,2000000,62,32.0,2.0,12.0
16725,21512174,123,1.0,3.0,1.0
16726,8140000,44,28.0,2.0,6.0
16729,2000000,46,22.0,1.0,9.0
16749,7300000,37,22.0,2.0,7.0
16751,4750000,59,42.0,3.0,5.0
16752,9350000,45,30.0,2.0,5.0
16754,9200000,43,29.0,2.0,5.0
16756,29937000,113,59.0,3.0,13.0
16765,28500000,106,87.0,1.0,15.0
16766,12700000,68,64.0,3.0,9.0
16770,10650000,38,19.0,1.0,7.0
16771,18900000,88,47.0,3.0,16.0
16777,5000000,32,18.0,1.0,6.0
16781,4600000,32,18.0,1.0,6.0
16784,8100000,54,33.0,3.0,8.0
16792,3000000,64,36.0,2.0,8.0
16795,6650000,42,24.0,2.0,5.0
16799,1000000,58,42.0,3.0,5.0
16800,6800000,34,20.0,1.0,7.0
16801,5800000,32,19.0,1.0,5.0
16803,16700000,95,60.0,4.0,14.0
16816,2000000,55,31.0,2.0,8.0
16817,4582197,55,55.0,2.0,1.0
16818,13950000,77,44.0,3.0,10.0
16820,1000000,43,25.0,2.0,5.0
16836,13500000,64,46.0,3.0,7.0
16842,7130000,46,28.0,2.0,5.0
16845,2900000,98,20.0,4.0,9.0
16846,13400000,75,44.0,3.0,10.0
